Dose,Days after,Larva,Pupa,Dead Pupa,Flies,Experiment
1,10,0,0,0,0,10-Mar
1,17,,0,0,0,10-Mar
2,10,0,0,0,0,10-Mar
2,17,,0,0,0,10-Mar
5,10,0,0,0,0,10-Mar
5,17,,0,0,0,10-Mar
10,10,0,0,0,0,10-Mar
10,17,,0,0,0,10-Mar
25,10,0,0,0,0,10-Mar
25,17,0,0,0,0,10-Mar
0,7,20,10,0,0,20-Mar
0,11,5,39,10,2,20-Mar
0,15,,89,1,41,20-Mar
0,21,,105,1,52,20-Mar
0.04,7,17,6,0,0,20-Mar
0.04,11,7,58,9,3,20-Mar
0.04,15,,74,11,39,20-Mar
0.04,21,,102,11,69,20-Mar
0.08,7,5,2,0,0,20-Mar
0.08,11,8,32,3,1,20-Mar
0.08,15,,59,10,21,20-Mar
0.08,21,,102,10,55,20-Mar
0.2,7,11,5,0,0,20-Mar
0.2,11,7,43,6,4,20-Mar
0.2,15,,56,12,24,20-Mar
0.2,21,,81,12,71,20-Mar
0.4,7,20,13,0,0,20-Mar
0.4,11,15,56,10,4,20-Mar
0.4,15,,79,17,31,20-Mar
0.4,21,,101,17,92,20-Mar
1,7,3,0,0,0,20-Mar
1,11,42,9,0,0,20-Mar
1,15,,,0,0,20-Mar
1,21,,22,10,7,20-Mar
1,10,30,74,2,0,28-Mar
1,13,13,82,28,38,28-Mar
1,17,4,103,30,98,28-Mar
1,20,2,129,32,106,28-Mar
0.2,10,29,49,0,2,28-Mar
0.2,13,29,76,11,21,28-Mar
0.2,17,16,99,16,72,28-Mar
0.2,20,0,121,16,65,28-Mar
0.5,10,50,29,0,0,28-Mar
0.5,13,55,68,17,7,28-Mar
0.5,17,30,93,19,74,28-Mar
0.5,20,18,105,14,71,28-Mar
1,10,37,45,1,0,28-Mar
1,13,15,101,18,5,28-Mar
1,17,6,125,25,89,28-Mar
1,20,4,130,25,114,28-Mar
2.5,10,16,66,2,0,28-Mar
2.5,13,11,79,14,40,28-Mar
2.5,17,3,103,16,76,28-Mar
2.5,20,0,109,17,99,28-Mar
0,6,2,0,0,0,4-Apr
0,10,13,48,0,0,4-Apr
0,13,37,71,13,10,4-Apr
0,17,50,114,22,40,4-Apr
0,20,2,138,22,52,4-Apr
0.04,6,21,7,0,0,4-Apr
0.04,10,2,81,15,7,4-Apr
0.04,13,1,86,15,73,4-Apr
0.04,17,2,91,15,93,4-Apr
0.04,20,4,101,15,87,4-Apr
0.08,6,8,1,0,0,4-Apr
0.08,10,11,84,10,2,4-Apr
0.08,13,3,119,13,61,4-Apr
0.08,17,0,125,15,112,4-Apr
0.08,20,1,133,15,120,4-Apr
0.2,6,2,0,0,0,4-Apr
0.2,10,21,57,0,0,4-Apr
0.2,13,41,90,17,21,4-Apr
0.2,17,9,118,25,91,4-Apr
0.2,20,1,130,26,107,4-Apr
0.4,6,2,1,0,0,4-Apr
0.4,10,9,70,1,0,4-Apr
0.4,13,2,102,17,25,4-Apr
0.4,17,1,110,17,99,4-Apr
0.4,20,1,111,17,104,4-Apr
1,6,25,4,0,0,4-Apr
1,10,7,42,24,0,4-Apr
1,13,6,55,24,35,4-Apr
1,17,2,66,34,64,4-Apr
1,20,1,68,35,84,4-Apr
0,6,4,0,0,0,11-Apr
0,10,19,4,0,0,11-Apr
0,13,32,17,3,1,11-Apr
0,17,38,34,8,15,11-Apr
0,20,6,49,8,28,11-Apr
0.04,6,1,7,0,0,11-Apr
0.04,10,1,26,2,0,11-Apr
0.04,13,0,26,0,24,11-Apr
0.04,17,6,28,0,26,11-Apr
0.04,20,37,53,0,25,11-Apr
0.08,6,6,0,0,0,11-Apr
0.08,10,22,51,0,0,11-Apr
0.08,13,6,82,19,21,11-Apr
0.08,17,2,86,24,88,11-Apr
0.08,20,3,87,24,95,11-Apr
0.2,6,1,0,0,0,11-Apr
0.2,10,1,0,0,0,11-Apr
0.2,13,6,5,0,0,11-Apr
0.2,17,4,7,1,4,11-Apr
0.2,20,1,10,1,6,11-Apr
0.4,6,3,2,0,0,11-Apr
0.4,10,6,35,0,0,11-Apr
0.4,13,0,25,20,10,11-Apr
0.4,17,3,25,21,41,11-Apr
0.4,20,12,28,21,39,11-Apr
1,6,6,0,0,0,11-Apr
1,10,30,34,0,0,11-Apr
1,13,5,68,20,5,11-Apr
1,17,1,86,21,81,11-Apr
1,20,4,92,22,77,11-Apr
