Exp ,well,gene,treatment,value
mar7 plate 2,1a,Actb,DMSO,0.972838189
mar7 plate 2,1b,Actb,DMSO,1.090713177
mar7 plate 2,1c,Actb,DMSO,0.936448635
mar7 plate 2,2a,Actb,RAPA (low),2.387121118
mar7 plate 2,2b,Actb,RAPA (low),1.771868783
mar7 plate 2,2c,Actb,RAPA (low),1.59689756
mar7 plate 2,1a,Myod1,DMSO,1.045500183
mar7 plate 2,1b,Myod1,DMSO,0.989103443
mar7 plate 2,1c,Myod1,DMSO,0.965396375
mar7 plate 2,2a,Myod1,RAPA (low),1.016910925
mar7 plate 2,2b,Myod1,RAPA (low),0.858085502
mar7 plate 2,2c,Myod1,RAPA (low),0.873084572
mar7 plate 2,1a,Myog,DMSO,1.40035392
mar7 plate 2,1b,Myog,DMSO,0.930315194
mar7 plate 2,1c,Myog,DMSO,0.669330886
mar7 plate 2,2a,Myog,RAPA (low),0.463548274
mar7 plate 2,2b,Myog,RAPA (low),0.255393107
mar7 plate 2,2c,Myog,RAPA (low),0.327778128
mar7 plate 2,1a,Myf5,DMSO,1.199008943
mar7 plate 2,1b,Myf5,DMSO,0.947266598
mar7 plate 2,1c,Myf5,DMSO,0.85372446
mar7 plate 2,2a,Myf5,RAPA (low),0.379413369
mar7 plate 2,2b,Myf5,RAPA (low),0.345520309
mar7 plate 2,2c,Myf5,RAPA (low),0.362698433
mar7 plate 2,1a,Mef2c,DMSO,0.744093354
mar7 plate 2,1b,Mef2c,DMSO,1.19628036
mar7 plate 2,1c,Mef2c,DMSO,1.059626286
mar7 plate 2,2a,Mef2c,RAPA (low),0.09173115
mar7 plate 2,2b,Mef2c,RAPA (low),0.051245017
mar7 plate 2,2c,Mef2c,RAPA (low),0.084117836
mar7 plate 2,1a,Cdkn1a,DMSO,1.08042429
mar7 plate 2,1b,Cdkn1a,DMSO,1.032826541
mar7 plate 2,1c,Cdkn1a,DMSO,0.88674917
mar7 plate 2,2a,Cdkn1a,RAPA (low),0.693322257
mar7 plate 2,2b,Cdkn1a,RAPA (low),0.457422101
mar7 plate 2,2c,Cdkn1a,RAPA (low),0.51107183
mar7 plate 2,1a,Il6,DMSO,1.02458903
mar7 plate 2,1b,Il6,DMSO,1.905335888
mar7 plate 2,1c,Il6,DMSO,0.070075083
mar7 plate 2,2a,Il6,RAPA (low),0.389594536
mar7 plate 2,2b,Il6,RAPA (low),0.288180645
mar7 plate 2,2c,Il6,RAPA (low),0.407548977
feb28 plate 2,1a,Actb,DMSO,1.236775554
feb28 plate 2,1b,Actb,DMSO,0.782728406
feb28 plate 2,1c,Actb,DMSO,0.98049604
feb28 plate 2,2a,Actb,RAPA (high),1.736983089
feb28 plate 2,2b,Actb,RAPA (high),2.051364281
feb28 plate 2,2c,Actb,RAPA (high),3.252578121
feb28 plate 2,1a,Myod1,DMSO,1.083605886
feb28 plate 2,1b,Myod1,DMSO,0.966498994
feb28 plate 2,1c,Myod1,DMSO,0.94989512
feb28 plate 2,2a,Myod1,RAPA (high),0.946608732
feb28 plate 2,2b,Myod1,RAPA (high),0.940070028
feb28 plate 2,2c,Myod1,RAPA (high),0.798763401
feb28 plate 2,1a,Myog,DMSO,1.117924673
feb28 plate 2,1b,Myog,DMSO,1.01102802
feb28 plate 2,1c,Myog,DMSO,0.871047308
feb28 plate 2,2a,Myog,RAPA (high),0.489989582
feb28 plate 2,2b,Myog,RAPA (high),0.455594735
feb28 plate 2,2c,Myog,RAPA (high),0.426560707
feb28 plate 2,1a,Myf5,DMSO,1.382122475
feb28 plate 2,1b,Myf5,DMSO,0.853749932
feb28 plate 2,1c,Myf5,DMSO,0.764127593
feb28 plate 2,2a,Myf5,RAPA (high),0.53473109
feb28 plate 2,2b,Myf5,RAPA (high),0.48359977
feb28 plate 2,2c,Myf5,RAPA (high),0.445002536
feb28 plate 2,1a,Mef2c,DMSO,1.159804935
feb28 plate 2,1b,Mef2c,DMSO,0.794920331
feb28 plate 2,1c,Mef2c,DMSO,1.045274734
feb28 plate 2,2a,Mef2c,RAPA (high),0.071987099
feb28 plate 2,2b,Mef2c,RAPA (high),0.139069907
feb28 plate 2,2c,Mef2c,RAPA (high),0.140523389
