CrossName,Gender,Born,Assay.Date,Time,Notes
2F,Male,11/14/2013,11/19/2013,1.41,
2F,Male,11/14/2013,11/19/2013,1.81,
2F,Male,11/14/2013,11/19/2013,2.22,
2F,Male,11/14/2013,11/19/2013,2.55,
2F,Male,11/14/2013,11/19/2013,2.89,
2F,Male,11/14/2013,11/19/2013,3.18,
2F,Male,11/14/2013,11/19/2013,3.42,
2F,Male,11/14/2013,11/19/2013,3.74,
2F,Male,11/14/2013,11/19/2013,4.23,
2F,Male,11/14/2013,11/19/2013,4.52,
2F,Male,11/14/2013,11/19/2013,1.54,
2F,Male,11/14/2013,11/19/2013,1.54,
2F,Male,11/14/2013,11/19/2013,1.54,
2F,Male,11/14/2013,11/19/2013,1.54,
2F,Male,11/14/2013,11/19/2013,1.54,
2F,Male,11/14/2013,11/19/2013,1.54,
2F,Male,11/14/2013,11/19/2013,1.54,
2F,Male,11/14/2013,11/19/2013,1.54,
2F,Male,11/14/2013,11/19/2013,1.54,
2F,Male,11/14/2013,11/19/2013,1.54,
2F,Male,11/14/2013,11/19/2013,0.93,
2F,Male,11/14/2013,11/19/2013,1.69,
2F,Male,11/14/2013,11/19/2013,2.43,
2F,Male,11/14/2013,11/19/2013,3.09,
2F,Male,11/14/2013,11/19/2013,4.5,
2F,Male,11/14/2013,11/19/2013,5.17,
2F,Male,11/14/2013,11/19/2013,5.84,
2F,Male,11/14/2013,11/19/2013,0.89,
2F,Male,11/14/2013,11/19/2013,1.91,
2F,Male,11/14/2013,11/19/2013,2.29,
2F,Male,11/14/2013,11/19/2013,2.66,
2F,Male,11/14/2013,11/19/2013,3,
2F,Male,11/14/2013,11/19/2013,3.52,
2F,Male,11/14/2013,11/19/2013,3.86,
2F,Male,11/14/2013,11/19/2013,4.26,
2F,Male,11/14/2013,11/19/2013,4.73,
2F,Male,11/14/2013,11/19/2013,5.16,
2F,Male,11/14/2013,11/19/2013,1.25,
2F,Male,11/14/2013,11/19/2013,1.58,
2F,Male,11/14/2013,11/19/2013,2.34,
2F,Male,11/14/2013,11/19/2013,3.1,
2F,Male,11/14/2013,11/19/2013,3.48,
2F,Male,11/14/2013,11/19/2013,7.98,
2F,Female,11/14/2013,11/19/2013,0.78,
2F,Female,11/14/2013,11/19/2013,1.44,
2F,Female,11/14/2013,11/19/2013,2.22,
2F,Female,11/14/2013,11/19/2013,2.88,
2F,Female,11/14/2013,11/19/2013,3.26,
2F,Female,11/14/2013,11/19/2013,3.67,
