Female,Male,Date Started,Date Eclosed,Gender,cyo/sb,cyo,sb,WT
24B/III,"41912/cyo , 27551/Tm3,sb",1/13/2014,1/27/2014,Females,15,17,0,0
24B/III,"41912/cyo , 27551/Tm3,sb",1/13/2014,1/27/2014,Males,9,17,0,0
24B/III,"41912/cyo , 27551/Tm3,sb",1/13/2014,1/27/2014,Females,16,17,0,0
24B/III,"41912/cyo , 27551/Tm3,sb",1/13/2014,1/27/2014,Males,7,16,0,0
C179/III,"41912/cyo, 34340/Tm3-sb",2/25/2014,3/7/2014,Females,6,15,9,10
C179/III,"41912/cyo, 34340/Tm3-sb",2/25/2014,3/7/2014,Males,2,14,4,10
Mef/III,"41912/cyo, 34340/Tm3-sb",2/25/2014,3/7/2014,Females,3,1,6,1
Mef/III,"41912/cyo, 34340/Tm3-sb",2/25/2014,3/7/2014,Males,1,3,3,1
C179/III,"41912/cyo, 34340/Tm3-sb",3/4/2014,3/14/2014,Females,5,9,12,15
C179/III,"41912/cyo, 34340/Tm3-sb",3/4/2014,3/14/2014,Males,3,7,6,6
C179/III,"41912/cyo, 34340/Tm3-sb",3/5/2014,3/15/2014,Females,2,7,3,14
C179/III,"41912/cyo, 34340/Tm3-sb",3/5/2014,3/15/2014,Males,4,5,3,8
