"","UAS","CrossName","Gender","Phenotype","Birth.Date","Death.Date","Accidental","Notes","Generation","Cross","Replicate","DateStarted","Male","Female","Age","Driver","Gene","Genotype"
"1","31039","D1","female","tm6b/sb",2013-06-05,2013-08-29,FALSE,"",1,"31039/Tm6B x 24B-Gal4/Tm3-sb",1,"5/23/2013","31039/Tm6B","24B-Gal4/Tm3-sb",85,"24B-Gal4","Tsc1","Tm3,sb/Tm6B"
"2","31039","D2","female","wt",2013-06-12,2013-08-22,FALSE,"",2,"31039/Tm6B x 24B-Gal4/Tm3-sb",1,"5/28/2013","31039/Tm6B","24B-Gal4/Tm3-sb",71,"24B-Gal4","Tsc1","shRNA/GAL4"
"3","31039","D1","female","tm6b/sb",2013-06-05,2013-08-29,FALSE,"",1,"31039/Tm6B x 24B-Gal4/Tm3-sb",1,"5/23/2013","31039/Tm6B","24B-Gal4/Tm3-sb",85,"24B-Gal4","Tsc1","Tm3,sb/Tm6B"
"4","31039","D1","male","wt",2013-06-03,2013-07-29,FALSE,"",1,"31039/Tm6B x 24B-Gal4/Tm3-sb",1,"5/23/2013","31039/Tm6B","24B-Gal4/Tm3-sb",56,"24B-Gal4","Tsc1","shRNA/GAL4"
"5","31039","D1","female","tm6b/sb",2013-06-05,2013-08-29,FALSE,"",1,"31039/Tm6B x 24B-Gal4/Tm3-sb",1,"5/23/2013","31039/Tm6B","24B-Gal4/Tm3-sb",85,"24B-Gal4","Tsc1","Tm3,sb/Tm6B"
"6","31039","D1","male","wt",2013-06-06,2013-07-16,FALSE,"",1,"31039/Tm6B x 24B-Gal4/Tm3-sb",1,"5/23/2013","31039/Tm6B","24B-Gal4/Tm3-sb",40,"24B-Gal4","Tsc1","shRNA/GAL4"
"7","31039","D1","female","tm6b/sb",2013-06-05,2013-08-29,FALSE,"",1,"31039/Tm6B x 24B-Gal4/Tm3-sb",1,"5/23/2013","31039/Tm6B","24B-Gal4/Tm3-sb",85,"24B-Gal4","Tsc1","Tm3,sb/Tm6B"
"8","31039","D2","female","wt",2013-06-12,2013-08-22,FALSE,"",2,"31039/Tm6B x 24B-Gal4/Tm3-sb",1,"5/28/2013","31039/Tm6B","24B-Gal4/Tm3-sb",71,"24B-Gal4","Tsc1","shRNA/GAL4"
"9","31039","D1","female","sb",2013-06-03,2013-08-08,FALSE,"",1,"31039/Tm6B x 24B-Gal4/Tm3-sb",1,"5/23/2013","31039/Tm6B","24B-Gal4/Tm3-sb",66,"24B-Gal4","Tsc1","shRNA/Tm3,sb"
"10","31039","D1","female","sb",2013-06-03,2013-08-08,FALSE,"",1,"31039/Tm6B x 24B-Gal4/Tm3-sb",1,"5/23/2013","31039/Tm6B","24B-Gal4/Tm3-sb",66,"24B-Gal4","Tsc1","shRNA/Tm3,sb"
"11","31039","D1","male","wt",2013-06-06,2013-07-16,FALSE,"",1,"31039/Tm6B x 24B-Gal4/Tm3-sb",1,"5/23/2013","31039/Tm6B","24B-Gal4/Tm3-sb",40,"24B-Gal4","Tsc1","shRNA/GAL4"
"12","31039","D1","female","sb",2013-06-03,2013-08-08,FALSE,"",1,"31039/Tm6B x 24B-Gal4/Tm3-sb",1,"5/23/2013","31039/Tm6B","24B-Gal4/Tm3-sb",66,"24B-Gal4","Tsc1","shRNA/Tm3,sb"
"13","31039","D1","female","sb",2013-06-03,2013-08-08,FALSE,"",1,"31039/Tm6B x 24B-Gal4/Tm3-sb",1,"5/23/2013","31039/Tm6B","24B-Gal4/Tm3-sb",66,"24B-Gal4","Tsc1","shRNA/Tm3,sb"
"14","31039","D1","female","wt",2013-06-05,2013-08-08,FALSE,"",1,"31039/Tm6B x 24B-Gal4/Tm3-sb",1,"5/23/2013","31039/Tm6B","24B-Gal4/Tm3-sb",64,"24B-Gal4","Tsc1","shRNA/GAL4"
"15","31039","D1","female","wt",2013-06-05,2013-08-08,FALSE,"",1,"31039/Tm6B x 24B-Gal4/Tm3-sb",1,"5/23/2013","31039/Tm6B","24B-Gal4/Tm3-sb",64,"24B-Gal4","Tsc1","shRNA/GAL4"
"16","31039","D2","male","sb",2013-06-09,2013-08-01,FALSE,"",2,"31039/Tm6B x 24B-Gal4/Tm3-sb",1,"5/28/2013","31039/Tm6B","24B-Gal4/Tm3-sb",53,"24B-Gal4","Tsc1","shRNA/Tm3,sb"
"17","31039","D1","female","tm6b/sb",2013-06-05,2013-08-29,FALSE,"",1,"31039/Tm6B x 24B-Gal4/Tm3-sb",1,"5/23/2013","31039/Tm6B","24B-Gal4/Tm3-sb",85,"24B-Gal4","Tsc1","Tm3,sb/Tm6B"
"18","31039","D1","male","wt",2013-06-06,2013-07-16,FALSE,"",1,"31039/Tm6B x 24B-Gal4/Tm3-sb",1,"5/23/2013","31039/Tm6B","24B-Gal4/Tm3-sb",40,"24B-Gal4","Tsc1","shRNA/GAL4"
"19","31039","D1","female","sb",2013-06-03,2013-08-05,FALSE,"",1,"31039/Tm6B x 24B-Gal4/Tm3-sb",1,"5/23/2013","31039/Tm6B","24B-Gal4/Tm3-sb",63,"24B-Gal4","Tsc1","shRNA/Tm3,sb"
"20","31039","D1","female","sb",2013-06-03,2013-08-05,FALSE,"",1,"31039/Tm6B x 24B-Gal4/Tm3-sb",1,"5/23/2013","31039/Tm6B","24B-Gal4/Tm3-sb",63,"24B-Gal4","Tsc1","shRNA/Tm3,sb"
"21","31039","D1","female","sb",2013-06-03,2013-08-05,FALSE,"",1,"31039/Tm6B x 24B-Gal4/Tm3-sb",1,"5/23/2013","31039/Tm6B","24B-Gal4/Tm3-sb",63,"24B-Gal4","Tsc1","shRNA/Tm3,sb"
