CrossName,Female,Male,Generation,Cross,Replicate,DateStarted,DateEclosed,Gender,WT,Ser/Sb,Tm6B,Tm6B+Ser/Sb,Notes
A1,24B-Gal4/Tm3-sb,31314/Tm6B,1,A,1,5/20/2013,5/30/2013,Female,0,3,1,1,
A1,24B-Gal4/Tm3-sb,31314/Tm6B,1,A,1,5/20/2013,5/30/2013,Male,3,0,1,1,all sb had white eyes
A1,24B-Gal4/Tm3-sb,31314/Tm6B,1,A,1,5/20/2013,6/4/2013,Female,5,6,3,1,
A1,24B-Gal4/Tm3-sb,31314/Tm6B,1,A,1,5/20/2013,6/4/2013,Male,4,0,3,2,
A2,24B-Gal4/Tm3-sb,31314/Tm6B,2,A,1,5/24/2013,6/3/2013,Female,3,1,1,0,
A2,24B-Gal4/Tm3-sb,31314/Tm6B,2,A,1,5/24/2013,6/3/2013,Male,0,0,0,0,
A2,24B-Gal4/Tm3-sb,31314/Tm6B,2,A,1,5/24/2013,6/4/2013,Female,2,3,9,0,
A2,24B-Gal4/Tm3-sb,31314/Tm6B,2,A,1,5/24/2013,6/4/2013,Male,7,2,3,0,
B1,24B-Gal4/Tm3-ser,34814/Tm6B,1,B,1,5/20/2013,5/30/2013,Female,0,0,2,0,
B1,24B-Gal4/Tm3-ser,34814/Tm6B,1,B,1,5/20/2013,5/30/2013,Male,2,4,5,1,all ser had white eyes
B1,24B-Gal4/Tm3-ser,34814/Tm6B,1,B,1,5/20/2013,6/2/3013,Female,3,1,2,3,
B1,24B-Gal4/Tm3-ser,34814/Tm6B,1,B,1,5/20/2013,6/2/3013,Male,0,3,1,2,
C1,24B-Gal4/Tm3-sb,31528/Tm6B,1,C,1,5/22/2013,6/2/2013,Female,0,6,2,3,
C1,24B-Gal4/Tm3-sb,31528/Tm6B,1,C,1,5/22/2013,6/2/2013,Male,0,3,2,1,all sb had white eyes
C1,24B-Gal4/Tm3-sb,31528/Tm6B,1,C,1,5/22/2013,6/5/2013,Female,0,0,2,0,
C1,24B-Gal4/Tm3-sb,31528/Tm6B,1,C,1,5/22/2013,6/5/2013,Male,0,5,7,0,
D1,24B-Gal4/Tm3-sb,31039/Tm6B,1,D,1,5/23/2013,6/3/2013,Female,1,2,2,0,
D1,24B-Gal4/Tm3-sb,31039/Tm6B,1,D,1,5/23/2013,6/3/2013,Male,1,0,0,0,
D1,24B-Gal4/Tm3-sb,31039/Tm6B,1,D,1,5/23/2013,6/6/2013,Female,6,2,3,0,
D1,24B-Gal4/Tm3-sb,31039/Tm6B,1,D,1,5/23/2013,6/6/2013,Male,5,4,2,0,
E1,24B-Gal4/Tm3-ser,31529/Tm6B,1,E,1,5/24/2013,6/3/2013,Female,0,4,0,0,
E1,24B-Gal4/Tm3-ser,31529/Tm6B,1,E,1,5/24/2013,6/3/2013,Male,0,1,0,0,
E1,24B-Gal4/Tm3-ser,31529/Tm6B,1,E,1,5/24/2013,6/5/2013,Female,0,1,5,6,
E1,24B-Gal4/Tm3-ser,31529/Tm6B,1,E,1,5/24/2013,6/5/2013,Male,0,8,5,3,
A2,24B-Gal4/Tm3-sb,31314/Tm6B,2,A,1,5/24/2013,6/6/2013,Female,7,4,3,0,
A2,24B-Gal4/Tm3-sb,31314/Tm6B,2,A,1,5/24/2013,6/6/2013,Male,8,3,4,0,
B2,24B-Gal4/Tm3-ser,34814/Tm6B,2,B,1,5/24/2013,6/5/2013,Female,0,4,6,3,
B2,24B-Gal4/Tm3-ser,34814/Tm6B,2,B,1,5/24/2013,6/5/2013,Male,0,3,4,1,
F1,24B-Gal4/Tm3-ser,35144/Tm6B,1,F,1,5/27/2013,6/6/2013,Female,7,8,5,3,
F1,24B-Gal4/Tm3-ser,35144/Tm6B,1,F,1,5/27/2013,6/6/2013,Male,6,5,6,1,
A3,24B-Gal4/Tm3-sb,31314/Tm6B,3,A,1,5/29/2013,6/9/2013,Female,9,5,2,1,
