"","Gender","Gene","UAS","Driver","Age"
"1","female","Tsc1","31039","24B-Gal4",71
"2","male","Tsc1","31039","24B-Gal4",56
"3","male","Tsc1","31039","24B-Gal4",40
"4","female","Tsc1","31039","24B-Gal4",71
"5","male","Tsc1","31039","24B-Gal4",40
"6","female","Tsc1","31039","24B-Gal4",64
"7","female","Tsc1","31039","24B-Gal4",64
"8","male","Tsc1","31039","24B-Gal4",40
"9","male","Tsc1","31039","24B-Gal4",56
"10","male","Tsc1","31039","24B-Gal4",56
"11","male","Tsc1","31039","24B-Gal4",56
"12","female","Tsc1","31039","24B-Gal4",36
"13","female","Tsc1","31039","24B-Gal4",36
"14","female","Tsc1","31039","24B-Gal4",36
"15","female","Tsc1","31039","24B-Gal4",64
"16","male","Tsc1","31039","24B-Gal4",40
"17","male","Tsc1","31039","24B-Gal4",40
"18","male","Tsc1","31039","24B-Gal4",40
"19","male","Tsc1","31039","24B-Gal4",40
"20","male","Tsc1","31039","24B-Gal4",40
"21","male","Tsc1","31039","24B-Gal4",40
"22","male","Tsc1","31039","24B-Gal4",40
"23","male","Tsc1","31039","24B-Gal4",40
"24","female","Tsc1","31039","24B-Gal4",37
"25","male","Tsc1","31039","24B-Gal4",37
"26","male","Tsc1","31039","24B-Gal4",37
"27","male","Tsc1","31039","24B-Gal4",37
"28","male","Tsc1","31039","24B-Gal4",37
"29","female","Tsc1","31039","24B-Gal4",37
"30","female","Tsc1","31039","24B-Gal4",37
"31","female","Tsc1","31039","24B-Gal4",37
"32","female","Tsc1","31039","24B-Gal4",37
"33","female","Tsc1","31039","24B-Gal4",41
"34","female","Tsc1","31039","24B-Gal4",41
"35","female","Tsc1","31039","24B-Gal4",41
"36","female","Tsc1","31039","24B-Gal4",41
"37","female","Tsc1","31039","24B-Gal4",61
"38","female","Tsc1","31039","24B-Gal4",61
"39","female","Tsc1","31039","24B-Gal4",61
"40","female","Tsc1","31039","24B-Gal4",61
"41","male","Tsc1","31039","24B-Gal4",50
"42","male","Tsc1","31039","24B-Gal4",50
"43","male","Tsc1","31039","24B-Gal4",50
"44","male","Tsc1","31039","24B-Gal4",50
"45","female","Tsc1","31039","24B-Gal4",64
"46","female","Tsc1","31039","24B-Gal4",64
"47","female","Tsc1","31039","24B-Gal4",64
"48","female","Tsc1","31039","24B-Gal4",41
"49","female","Tsc1","31039","24B-Gal4",41
"50","female","Tsc1","31039","24B-Gal4",41
"51","female","Tsc1","31039","24B-Gal4",41
"52","female","Tsc1","31039","24B-Gal4",51
"53","female","Tsc1","31039","24B-Gal4",51
"54","female","Tsc1","31039","24B-Gal4",51
