CrossName,Female,Male,Generation,Cross,Replicate,DateStarted,DateEclosed,Gender,WT,Cyo/Sb,Cyo,Sb,Cyo+Sb,Notes
3A1,Mhc-GAL4/TM6C,36304/III,1,3A,1,,5/28/2014,Male,17,19,,,,all cyo had white eyes
3A1,Mhc-GAL4/TM6C,36304/III,1,3A,1,,5/28/2014,Female,20,16,,,,
3B1,Mhc-GAL4/TM6C,31528/III,1,3B,1,,5/28/2014,Male,22,23,,,,all cyo had white eyes
3B1,Mhc-GAL4/TM6C,31528/III,1,3B,1,,5/28/2014,Female,26,16,,,,
3C1,Mhc-GAL4/TM6C,34814/III,1,3C,1,,5/28/2014,Male,16,14,,,,
3C1,Mhc-GAL4/TM6C,34814/III,1,3C,1,,5/28/2014,Female,18,16,,,,
5A1,"24B-GAL4/Tm3,sb",36304/III,1,5A,1,,5/28/2014,Male,10,0,,,,
5A1,"24B-GAL4/Tm3,sb",36304/III,1,5A,1,,5/28/2014,Female,14,2,,,,
3A1,Mhc-GAL4/TM6C,36304/III,1,3A,1,,6/2/2014,Male,8,10,,,,
3A1,Mhc-GAL4/TM6C,36304/III,1,3A,1,,6/2/2014,Female,6,10,,,,
3B1,Mhc-GAL4/TM6C,31528/III,1,3B,1,,6/2/2014,Male,19,,,,,
3B1,Mhc-GAL4/TM6C,31528/III,1,3B,1,,6/2/2014,Female,7,12,,,,
3C1,Mhc-GAL4/TM6C,34814/III,1,3C,1,,6/2/2014,Male,8,12,,,,
3C1,Mhc-GAL4/TM6C,34814/III,1,3C,1,,6/2/2014,Female,11,7,,,,
3D1,Mhc-GAL4/TM6C,41912/II,1,3D,1,,6/2/2014,Male,13,5,,,,
3D1,Mhc-GAL4/TM6C,41912/II,1,3D,1,,6/2/2014,Female,30,5,,,,
5A1,"24B-GAL4/Tm3,sb",36304/III,1,5A,1,,6/4/2014,Male,24,11,,,,
5A1,"24B-GAL4/Tm3,sb",36304/III,1,5A,1,,6/4/2014,Female,27,9,,,,
3A2,Mhc-GAL4/TM6C,36304/III,2,3A,1,,6/4/2014,Male,13,17,,,,
3A2,Mhc-GAL4/TM6C,36304/III,2,3A,1,,6/4/2014,Female,20,20,,,,
3B2,Mhc-GAL4/TM6C,31528/III,2,3B,1,,6/4/2014,Male,7,7,,,,
3B2,Mhc-GAL4/TM6C,31528/III,2,3B,1,,6/4/2014,Female,15,11,,,,
4B1,Mef-GAL4,36304/III,1,4B,1,,6/4/2014,Male,40,0,,,,
4B1,Mef-GAL4,36304/III,1,4B,1,,6/4/2014,Female,46,0,,,,
3C2,Mhc-GAL4/TM6C,34814/III,2,3C,1,,6/4/2014,Male,12,13,,,,
3C2,Mhc-GAL4/TM6C,34814/III,2,3C,1,,6/4/2014,Female,17,16,,,,
3C2,Mhc-GAL4/TM6C,34814/III,2,3C,1,,6/6/2014,Male,4,4,,,,
3C2,Mhc-GAL4/TM6C,34814/III,2,3C,1,,6/6/2014,Female,6,5,,,,
4A1,Mef-GAL4,32371/III,1,4A,1,,6/6/2014,Male,2,0,,,,
4A1,Mef-GAL4,32371/III,1,4A,1,,6/6/2014,Female,6,0,,,,
3C2,Mhc-GAL4/TM6C,34814/III,2,3C,1,,6/11/2014,Male,4,10,,,,
3C2,Mhc-GAL4/TM6C,34814/III,2,3C,1,,6/11/2014,Female,6,3,,,,
3C3,Mhc-GAL4/TM6C,34814/III,3,3C,1,,6/11/2014,Male,25,19,,,,
3C3,Mhc-GAL4/TM6C,34814/III,3,3C,1,,6/11/2014,Female,25,26,,,,
4AA1,Mef-GAL4,32371/III,1,4A,2,,6/11/2014,Male,22,0,,,,
4AA1,Mef-GAL4,32371/III,1,4A,2,,6/11/2014,Female,35,0,,,,
4A1,Mef-GAL4,32371/III,1,4A,1,,6/11/2014,Male,5,0,,,,
4A1,Mef-GAL4,32371/III,1,4A,1,,6/11/2014,Female,1,0,,,,
4B1,Mef-GAL4,36304/III,1,4B,1,,6/11/2014,Male,19,0,,,,
4B1,Mef-GAL4,36304/III,1,4B,1,,6/11/2014,Female,29,0,,,,
5AA1,"24B-GAL4/Tm3,sb",36304/III,1,5A,2,,6/11/2014,Male,15,19,,,,
5AA1,"24B-GAL4/Tm3,sb",36304/III,1,5A,2,,6/11/2014,Female,17,24,,,,
3E1,Mhc-GAL4/TM6C,31529/III,1,3E,1,,6/11/2014,Male,21,20,,,,
3E1,Mhc-GAL4/TM6C,31529/III,1,3E,1,,6/11/2014,Female,23,13,,,,
3A2,Mhc-GAL4/TM6C,36304/III,2,3A,1,,6/12/2014,Male,4,1,,,,
3A2,Mhc-GAL4/TM6C,36304/III,2,3A,1,,6/12/2014,Female,3,4,,,,
3B2,Mhc-GAL4/TM6C,31528/III,2,3B,1,,6/12/2014,Male,4,4,,,,
3B2,Mhc-GAL4/TM6C,31528/III,2,3B,1,,6/12/2014,Female,9,3,,,,
4B2,Mef-GAL4,36304/III,2,4B,1,,6/12/2014,Male,18,0,,,,
4B2,Mef-GAL4,36304/III,2,4B,1,,6/12/2014,Female,13,0,,,,
3A3,Mhc-GAL4/TM6C,36304/III,3,3A,1,,6/13/2014,Male,10,9,,,,
3A3,Mhc-GAL4/TM6C,36304/III,3,3A,1,,6/13/2014,Female,9,6,,,,
