"","UAS","Gene","CrossName","Examination.Date","Dead.Flies","Empty.Larvae","Female","Male","Var.4","Females","Males","Live.Flies","Total.Pupae","Dead.Pupae.pct","Driver"
"1","31039","Tsc1","2DDDD","12/17/2013",5,98,"C179-Gal4","31039/III",NA,0,0,0,103,4.85436893203883,"C179-Gal4"
"2","31039","Tsc1","2DDDDD","12/27/2013",7,72,"C179-Gal4","31039/III",NA,0,0,0,79,8.86075949367089,"C179-Gal4"
"3","31039","Tsc1","2DDD","12/11/2013",2,53,"C179-Gal4","31039/III",NA,0,0,0,55,3.63636363636364,"C179-Gal4"
"4","31039","Tsc1","2DD","12/2/2013",14,132,"C179-Gal4","31039/III",0,45,48,93,146,9.58904109589041,"C179-Gal4"
"5","31039","Tsc1","2D","11/26/2013",5,141,"C179-Gal4","31039/III",0,60,42,102,146,3.42465753424658,"C179-Gal4"
"6","31314","Tsc1","4CCC","2/19/2014",0,83,"C179-Gal4","31314/III",0,113,93,206,83,0,"C179-Gal4"
"7","31314","Tsc1","2C","11/26/2013",3,181,"C179-Gal4","31314/III",0,60,64,124,184,1.6304347826087,"C179-Gal4"
"8","31314","Tsc1","3C","2/6/2014",0,119,"C179-Gal4","31314/III",0,81,83,164,119,0,"C179-Gal4"
"9","31314","Tsc1","3CCC","2/19/2014",0,110,"C179-Gal4","31314/III",0,104,86,190,110,0,"C179-Gal4"
"10","31314","Tsc1","2CC",NA,NA,NA,"C179-Gal4","31314/III",0,73,59,132,NA,NA,"C179-Gal4"
"11","31314","Tsc1","3CC","2/12/2014",1,59,"C179-Gal4","31314/III",0,90,96,186,60,1.66666666666667,"C179-Gal4"
"12","31314","Tsc1","4CC","2/12/2014",3,216,"C179-Gal4","31314/III",0,44,9,53,219,1.36986301369863,"C179-Gal4"
"13","31314","Tsc1","4C","2/6/2014",0,131,"C179-Gal4","31314/III",0,85,98,183,131,0,"C179-Gal4"
"14","31528","Raptor","2BBBBB","12/27/2013",13,129,"C179-Gal4","31528/III",NA,0,0,0,142,9.15492957746479,"C179-Gal4"
"15","31528","Raptor","2BBBB","12/17/2013",7,80,"C179-Gal4","31528/III",NA,0,0,0,87,8.04597701149425,"C179-Gal4"
"16","31528","Raptor","2B","11/26/2013",26,117,"C179-Gal4","31528/III",0,60,20,80,143,18.1818181818182,"C179-Gal4"
"17","31528","Raptor","2BBB","12/11/2013",13,71,"C179-Gal4","31528/III",NA,0,0,0,84,15.4761904761905,"C179-Gal4"
"18","31528","Raptor","2BB","12/2/2013",21,93,"C179-Gal4","31528/III",0,38,13,51,114,18.4210526315789,"C179-Gal4"
"19","31529","Raptor","2EE","12/2/2013",60,60,"C179-Gal4","31529/III",0,40,0,40,120,50,"C179-Gal4"
"20","31529","Raptor","2E","11/26/2013",24,72,"C179-Gal4","31529/III",0,35,3,38,96,25,"C179-Gal4"
"21","31529","Raptor","2EEEEE","12/27/2013",17,77,"C179-Gal4","31529/III",NA,0,0,0,94,18.0851063829787,"C179-Gal4"
"22","31529","Raptor","2EEEE","12/17/2013",16,83,"C179-Gal4","31529/III",NA,0,0,0,99,16.1616161616162,"C179-Gal4"
"23","31529","Raptor","2EEE","12/3/2013",20,39,"C179-Gal4","31529/III",0,26,0,26,59,33.8983050847458,"C179-Gal4"
"24","34814","Raptor","2AAAA","12/17/2013",28,90,"C179-Gal4","34814/III",0,8,5,13,118,23.728813559322,"C179-Gal4"
"25","34814","Raptor","2AAAA","12/27/2013",37,80,"C179-Gal4","34814/III",0,8,5,13,117,31.6239316239316,"C179-Gal4"
"26","34814","Raptor","2AAA","12/11/2013",26,16,"C179-Gal4","34814/III",NA,0,0,0,42,61.9047619047619,"C179-Gal4"
"27","34814","Raptor","3AAAA","12/27/2013",24,120,"C179-Gal4","34814/III",NA,0,0,0,144,16.6666666666667,"C179-Gal4"
"28","34814","Raptor","3AA","12/11/2013",49,8,"C179-Gal4","34814/III",NA,0,0,0,57,85.9649122807018,"C179-Gal4"
"29","34814","Raptor","3A",NA,NA,NA,"C179-Gal4","34814/III",0,10,8,18,NA,NA,"C179-Gal4"
"30","34814","Raptor","2AA","12/2/2013",55,30,"C179-Gal4","34814/III",NA,0,0,0,85,64.7058823529412,"C179-Gal4"
"31","34814","Raptor","3AAA","12/17/2013",18,84,"C179-Gal4","34814/III",0,14,10,24,102,17.6470588235294,"C179-Gal4"
"32","34814","Raptor","2A","11/26/2013",38,47,"C179-Gal4","34814/III",NA,0,0,0,85,44.7058823529412,"C179-Gal4"
"33","35144","Tsc1","4GGG",NA,NA,NA,"C179-Gal4","35144/sb",0,52,38,90,NA,NA,"C179-Gal4"
"34","35144","Tsc1","4G",NA,NA,NA,"C179-Gal4","35144/sb",0,33,45,78,NA,NA,"C179-Gal4"
"35","35144","Tsc1","4GG",NA,NA,NA,"C179-Gal4","35144/sb",0,45,50,95,NA,NA,"C179-Gal4"
